"Time","VI","VTI","FB","PETO2","PETCO2"
1682.25875,-42.02602768,-3.170171738,13.37792683,46.48916626,43.27220535
1686.66625,-43.10565567,-3.087162018,13.61315918,47.10951614,43.18640518
1691.38875,-40.44847488,-3.392774343,12.70513535,47.52307892,43.18640518
1695.97625,-41.1216774,-3.092623234,13.07901859,47.52307892,43.33655167
1700.57875,-38.20521545,-3.154375315,13.03639317,47.52307892,43.29365158
1705.16625,-38.14699936,-2.921107054,13.07901955,47.52307892,43.44379807
1709.84625,-39.0771637,-2.975466013,12.82051277,47.10951614,43.55104446
1714.73125,-38.73786163,-3.181532383,12.28249741,46.90273666,43.31510544
1719.63875,-40.20283508,-3.168434381,12.22618389,46.90273666,43.12206268
1724.21875,-41.00038147,-3.068816423,13.10043716,47.10951614,43.05771255
1728.65625,-41.33173752,-3.032319784,13.52112675,46.90273666,42.95046616
1733.98125,-38.50403976,-3.668191671,11.26760578,47.10951614,42.80031967
1738.90125,-35.14012146,-3.157331228,12.19512177,46.28238297,43.22930527
1744.14625,-37.9268837,-3.07183218,11.43946648,46.07560349,43.48669815
1748.93125,-41.09213638,-3.02466917,12.53918457,46.07560349,43.57249069
1753.57625,-38.8150177,-3.18121624,12.91711521,47.10951614,43.0791626
1758.15625,-40.34125137,-2.962879658,13.10043716,47.10951614,42.8217659
1762.70875,-38.70638657,-3.060892344,13.17957211,47.10951614,42.88611984
1767.18625,-41.61318207,-2.888463974,13.40033531,47.72986221,42.80031967
1771.34625,-36.40574646,-2.885180712,14.42307663,47.10951614,42.75741959
1776.10625,-33.49677277,-2.888189316,12.6050415,47.10951614,42.99336624
1781.30875,-40.99532318,-2.904449463,11.53291702,46.69594955,43.59394455
1785.85375,-39.61014175,-3.105395794,13.20131969,46.28238297,43.18640518
1790.42125,-41.3205986,-3.015322208,13.13628864,47.31629562,43.0362587
1795.05625,-42.21811295,-3.192016363,12.94498348,47.52307892,42.8217659
1799.50125,-34.23180008,-3.127658367,13.49831295,47.72986221,42.75741959
1804.31125,-37.91954041,-2.744249344,12.47401237,47.52307892,43.33655167
1808.72875,-35.40340805,-2.791826248,13.5823431,46.48916626,43.50814438
1813.24125,-36.38973999,-2.662631273,13.29639912,46.48916626,43.33655167
1817.74875,-35.80367661,-2.733779192,13.31114769,46.48916626,42.92901993
1821.93125,-36.72947311,-2.495814562,14.34548759,46.69594955,42.86466599
1826.26875,-35.37134933,-2.655234814,13.83285332,46.48916626,42.67161942
1830.54875,-35.91267014,-2.523156166,14.01869202,46.90273666,42.84321976
1835.13875,-34.73173523,-2.747319221,13.0718956,46.48916626,43.12206268
1839.73625,-35.03284454,-2.661319256,13.05057049,46.69594955,43.29365158
1844.39125,-35.10888672,-2.717964888,12.88936615,46.48916626,43.46524429
1849.21375,-37.00051117,-2.821876764,12.44167995,46.69594955,43.40089798
1853.82625,-38.23440552,-2.844414234,13.00813007,46.90273666,43.0791626
1858.33875,-36.88838959,-2.87554574,13.29639912,46.69594955,42.77887344
1862.81625,-32.13551712,-2.752795935,13.40033531,47.72986221,42.86466599
1867.59375,-33.23720169,-2.558790684,12.55886936,46.69594955,43.33655167
1872.30125,-36.97394562,-2.607735395,12.74561882,45.86881638,43.57249069
1876.89375,-29.89984703,-2.830047607,13.06477928,46.90273666,43.40089798
1881.94625,-39.14671707,-2.517816305,11.87530899,46.48916626,43.50814438
1887.45375,-34.68019485,-3.593342304,10.89423561,47.52307892,43.01481247
1892.02375,-34.08418274,-2.641474962,13.12910271,47.72986221,43.0362587
1896.70875,-32.25535965,-2.661406517,12.80683041,47.72986221,43.10061264
1901.28875,-33.29901123,-2.462159157,13.10043716,46.90273666,43.44379807
1905.85125,-29.45174217,-2.532112122,13.15068531,46.07560349,43.52959824
1910.92375,-34.47387695,-2.489899397,11.82848644,45.86881638,43.31510544
