Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3157.4923,0.732,95.80154115,111.1875,68.1875,85.83894873,82.97331238,6065.338379,73.625,13.9241
3158.2243,1.01735,95.80209767,115.53125,71.1875,87.33079609,81.96541595,4667.163574,79.25,11.6686
3159.24165,1.07375,95.80266153,122.46875,69.1875,89.58350352,58.97537231,4870.39209,87.40625,11.4085
3160.3154,1.11655,95.8010767,121.53125,69.46875,88.52598129,53.7364006,4912.312988,91.5,14.6841
3161.43195,1.034,95.79804159,116.28125,67.625,85.57888373,53.7364006,5647.480469,96.03125,13.9916
3162.46595,0.98575,95.79705649,111.59375,67.5,82.88376668,60.86633301,7088.569336,116.4375,14.5301
3163.4517,0.9194,95.79958397,107.78125,65.6875,80.68749833,60.86633301,7379.3125,113.09375,14.6315
3164.3711,0.8704,95.79742073,102.28125,64.4375,77.85112279,68.93375397,7032.276855,102.125,15.0656
3165.2415,0.7757,95.79029022,104.71875,64.25,79.42066827,68.93375397,6906.759277,89.21875,14.981
3166.0172,0.76375,95.79040917,108.28125,66.46875,83.08176101,77.34874725,6669.404785,84.84375,14.8802
3166.78095,0.8583,95.7907801,111.6875,69.25,85.88762543,69.90589905,5176.881348,74.03125,14.09
3167.63925,0.982,95.78987398,115.5625,70.34375,87.51305722,69.90589905,4881.873047,79.8125,12.573
3168.62125,1.16445,95.79508164,119.8125,70.1875,87.47431623,61.09978485,4365.328613,84.90625,13.424
3169.7857,1.06865,95.80375795,116.75,66.1875,85.58978978,56.14601898,5008.154785,89.3125,14.7033
3170.85435,0.9935,95.80126447,112.03125,66.6875,83.20856961,56.14601898,5880.29541,96.46875,15.5482
3171.84785,0.9337,95.79618889,107.78125,65.90625,81.30332953,64.26335144,6914.334961,107.59375,14.4438
3172.78155,0.8711,95.79843911,105.25,65.4375,80.4061968,64.26335144,7442.557617,108.09375,14.3964
3173.65265,0.79815,95.79925257,106.25,67.15625,82.03659549,75.17082214,7086.400391,94.25,14.6897
3174.4508,0.8161,95.79879534,111.21875,69.65625,86.05808793,73.52203369,6388.696777,86.875,14.7519
3175.2669,0.93965,95.8020473,114.5,72.4375,88.34874278,73.52203369,5085.031738,79.5625,14.1451
3176.20655,1.1291,95.80386896,116.9375,71.375,87.89842934,63.85523224,4212.077148,79.34375,13.6068
3177.33565,1.022,95.80371056,117.75,68.4375,88.60829006,58.71013641,5050.209473,86.125,15.3311
3178.35765,1.028,95.80016415,113.5625,70,86.24779934,58.36436081,5178.633301,88.65625,16.4231
3179.38565,0.99355,95.80080582,110.78125,68.25,83.80557071,60.38846207,5937.054199,98.46875,14.7459
